"year","fishing_entity","nutrient","Direct human consumption","Discards","Fishmeal and fish oil","Other","discard_ratio"
2014,"Israel","Protein",180752353.147632,169590819.02947,NA,18639.2631578947,0.938249577812987
2015,"Israel","Protein",185181589.647801,173597835.270282,NA,18639.2631578947,0.937446511829008
2017,"Israel","Protein",124418068.471329,116622435.19015,NA,23738.6842105263,0.937343238189112
2016,"Israel","Protein",157519054.276124,147179147.102531,NA,28134.7368421053,0.934357737093398
2015,"Croatia","DHA+EPA",96532234.2093661,90148425.4227932,48273.7546176686,48273.7546176686,0.933868631148356
2017,"Saudi Arabia","Iron",185545370.476382,170719386.771912,92865.5507889804,92865.5507889804,0.920095103066141
2016,"Brunei Darussalam","Calcium",5574600089.58051,5113933115.64963,NA,4541.50058468125,0.917363224889994
2017,"El Salvador","Iron",184052570.278257,168817221.981019,92118.403542671,92118.403542671,0.917222844135212
2016,"El Salvador","Iron",184028452.416182,168789889.221985,92106.3325406317,92106.3325406317,0.917194526204376
2017,"Belize","Vitamin B12",39350566.5530481,35591696.2285771,NA,NA,0.904477351821512
2018,"Taiwan","Vitamin B12",1646001888.45033,1487782881.91,823824.768994161,823824.768994161,0.903876777025272
2017,"El Salvador","Vitamin B12",175495258.461665,157460129.040358,87835.4646955281,87835.4646955281,0.897232953303711
2016,"El Salvador","Vitamin B12",175472261.93175,157434635.078818,87823.9549207959,87823.9549207959,0.897205252531889
2016,"Taiwan","Vitamin A, RAE",28879563689.0885,25876739368.9806,14454236.0806249,14454236.0806249,0.896022517776388
2018,"Ireland","DHA+EPA",79308518.7974684,70521985.2382406,36524.5863417546,36524.5863417546,0.889210721717472
2016,"Belize","DHA+EPA",6480830.02223136,5747112.23965753,NA,NA,0.886786448640539
2014,"Netherlands","Vitamin A, RAE",18167394465.8252,15968768281.4214,NA,18157078.2630348,0.878979553807803
2014,"Dominica","Calcium",4481493988.66965,3926245350.07548,NA,449.276186079521,0.876101889236495
2016,"Yemen","Calcium",5037273545.32893,4400904789.42743,2506091.44898026,2506091.44898026,0.873668016998678
2015,"Australia","Vitamin B12",442678210.447061,384774926.012295,248794.431605112,244497.331558302,0.869197798607955
2017,"Australia","Protein",3921032520.89316,3404858237.91676,1962478.73918576,1962478.73918576,0.868357561375487
2014,"Trinidad & Tobago","Protein",250103912.96069,216377317.967992,NA,12687.4137082394,0.865149670817029
2015,"Dominica","Calcium",3168471222.59513,2723270350.38458,NA,278.652450927462,0.859490321693404
2017,"Belize","Calcium",1585108607.4956,1361443199.48481,NA,NA,0.858895846661145
2018,"Ireland","Vitamin B12",120687585.890789,103586118.566652,51815.2832657738,51815.2832657738,0.858299698366556
2014,"Trinidad & Tobago","Vitamin B12",29664197.0354407,25431897.0521369,NA,3805.42434848689,0.857326325797818
2017,"Saint Kitts & Nevis","Iron",816464230.015132,699102004.223676,NA,NA,0.856255520478489
2016,"Saint Kitts & Nevis","Iron",816440088.011054,699074671.464642,NA,NA,0.85624736184583
2014,"Canada","Vitamin A, RAE",14336697435.1345,12268339139.4584,7354013.1287421,7354013.1287421,0.85572979376636
